iter	MultiClass
0	1.089021916
1	1.079396257
2	1.070482447
3	1.061453968
4	1.05308227
5	1.04482968
6	1.036662304
7	1.029044152
8	1.021484835
9	1.014043695
10	1.00699302
11	1.00026857
12	0.9933797236
13	0.9867754333
14	0.980216429
15	0.9741401355
16	0.9682258138
17	0.9624488273
18	0.9566321671
19	0.9510723902
20	0.9456167777
21	0.9403355447
22	0.9352487282
23	0.9302728831
24	0.925488492
25	0.9206618769
26	0.9159577711
27	0.9116038281
28	0.907252061
29	0.9029378484
30	0.898668203
31	0.8943152058
32	0.8902816693
33	0.8863445392
34	0.8825887672
35	0.8789441999
36	0.8751787414
37	0.8715349039
38	0.8678968199
39	0.8643939446
40	0.8609626459
41	0.8575862414
42	0.8544502913
43	0.8512329292
44	0.8481043031
45	0.8449289519
46	0.8418930565
47	0.8389137757
48	0.8360548368
49	0.8332187483
50	0.8304346577
51	0.8277778849
52	0.8251592486
53	0.8226448963
54	0.8199957423
55	0.8175919469
56	0.8152212601
57	0.8129649763
58	0.8106526209
59	0.8083921256
60	0.8062297016
61	0.8040630257
62	0.8020019195
63	0.7998835022
64	0.7977701876
65	0.7956612265
66	0.793653725
67	0.7915860018
68	0.7896629986
69	0.7877668108
70	0.7858780117
71	0.7839433206
72	0.7820860568
73	0.7803880767
74	0.7787951361
75	0.7770803466
76	0.775307321
77	0.7736496785
78	0.77197941
79	0.7703599362
80	0.7688454281
81	0.7675054092
82	0.7660246339
83	0.7645469443
84	0.7631415847
85	0.7617581138
86	0.7603544252
87	0.7590579032
88	0.7577141548
89	0.7563741103
90	0.7551558718
91	0.7538360916
92	0.7525451367
93	0.751300452
94	0.7501051774
95	0.7489625223
96	0.747781438
97	0.7466737183
98	0.7455786372
99	0.7444803001
100	0.7433851907
101	0.7423253232
102	0.7412530142
103	0.7402482458
104	0.7392721275
105	0.7383652921
106	0.7373801002
107	0.7362865048
108	0.7353648487
109	0.7341001458
110	0.7331920874
111	0.732148983
112	0.7311367095
113	0.7301233046
114	0.7292163297
115	0.7283004998
116	0.7274900978
117	0.7266293226
118	0.7256536316
119	0.7249254968
120	0.7240316567
121	0.7230660208
122	0.7222858948
123	0.7215364133
124	0.7207988509
125	0.7199938483
126	0.7193046439
127	0.7184851618
128	0.7177934191
129	0.7170880685
130	0.716291104
131	0.7156031805
132	0.7148484851
133	0.7141633005
134	0.7135723697
135	0.7130060443
136	0.7123930649
137	0.7117550999
138	0.711164416
139	0.7105402898
140	0.7099907434
141	0.7092602448
142	0.708666242
143	0.7079230615
144	0.7073144178
145	0.7066752699
146	0.7061426376
147	0.70556813
148	0.7049742665
149	0.7044337387
150	0.703832256
151	0.7033141585
152	0.7026461014
153	0.7019545487
154	0.7012604894
155	0.7007544175
156	0.700234245
