iter	Passed	Remaining
0	175	1754556
1	184	924346
2	193	645240
3	203	507594
4	211	422352
5	220	367035
6	229	327888
7	239	298919
8	248	275969
9	257	257393
10	267	242876
11	275	229656
12	285	219428
13	294	210263
14	304	202778
15	313	195831
16	323	189807
17	334	185313
18	342	180159
19	352	175956
20	361	171737
21	370	168141
22	379	164481
23	388	161602
24	397	158627
25	406	155967
26	415	153361
27	424	151059
28	432	148760
29	440	146546
30	449	144557
31	457	142607
32	466	140879
33	474	139020
34	484	137950
35	493	136690
36	503	135458
37	512	134285
38	521	133144
39	530	132122
40	539	131097
41	548	130146
42	558	129375
43	567	128520
44	577	127658
45	585	126767
46	595	126186
47	604	125427
48	614	124764
49	622	123936
50	631	123264
51	640	122491
52	649	121844
53	657	121098
54	666	120502
55	675	119907
56	683	119181
57	692	118717
58	701	118122
59	709	117577
60	717	116981
61	726	116495
62	735	115984
63	744	115546
64	752	115092
65	761	114682
66	771	114341
67	779	113878
68	788	113467
69	796	113050
70	805	112702
71	814	112282
72	823	112011
73	832	111659
74	841	111327
75	849	110977
76	859	110700
77	868	110510
78	877	110256
79	887	110028
80	897	109881
81	906	109600
82	914	109304
83	924	109112
84	932	108831
85	942	108599
86	950	108321
87	959	108103
88	968	107880
89	978	107781
90	987	107571
91	996	107310
92	1005	107097
93	1015	107006
94	1024	106837
95	1034	106754
96	1043	106521
97	1052	106362
98	1061	106181
99	1072	106134
100	1081	106022
101	1090	105827
102	1100	105771
103	1110	105620
104	1119	105502
105	1129	105395
106	1139	105309
107	1149	105283
108	1158	105128
109	1168	105023
110	1177	104928
111	1188	104899
112	1198	104819
113	1207	104676
114	1217	104641
115	1226	104530
116	1235	104400
117	1245	104307
118	1255	104247
119	1265	104155
120	1274	104073
121	1284	104034
122	1293	103881
123	1303	103817
124	1313	103756
125	1323	103701
126	1333	103679
127	1343	103638
128	1352	103496
129	1363	103501
130	1373	103497
131	1383	103438
132	1394	103433
133	1404	103410
134	1415	103417
135	1424	103341
136	1434	103253
137	1444	103200
138	1452	103067
139	1463	103043
140	1473	103043
141	1482	102939
142	1492	102867
143	1502	102816
144	1510	102686
145	1519	102562
146	1529	102488
147	1539	102464
148	1548	102389
149	1558	102366
150	1568	102332
151	1578	102277
152	1588	102214
153	1597	102157
154	1607	102083
155	1615	101939
156	1625	101902
157	1635	101885
158	1645	101841
159	1655	101813
160	1666	101858
161	1677	101850
162	1688	101872
163	1697	101813
164	1706	101736
165	1716	101711
166	1727	101723
167	1738	101734
168	1747	101644
169	1757	101652
170	1766	101540
171	1776	101504
172	1786	101486
173	1804	101908
174	1814	101854
175	1824	101813
176	1833	101775
177	1843	101731
178	1853	101670
179	1862	101609
180	1871	101538
181	1880	101449
182	1889	101368
183	1899	101336
184	1907	101226
185	1916	101129
186	1925	101037
187	1934	100969
188	1943	100871
189	1951	100770
190	1960	100684
191	1969	100613
192	1978	100528
193	1987	100459
194	1996	100382
195	2004	100289
196	2015	100281
197	2023	100197
198	2032	100102
199	2041	100010
200	2049	99929
